# tau gt_up gt_dn
6.651 -0.00139108 -0.00139108
6.66 -0.00138082 -0.00138082
6.669 -0.00137065 -0.00137065
6.678 -0.00136055 -0.00136055
6.687 -0.00135052 -0.00135052
6.696 -0.00134057 -0.00134057
6.705 -0.00133069 -0.00133069
6.714 -0.00132088 -0.00132088
6.723 -0.00131115 -0.00131115
6.732 -0.00130149 -0.00130149
6.741 -0.0012919 -0.0012919
6.75 -0.00128237 -0.00128237
6.759 -0.00127292 -0.00127292
6.768 -0.00126354 -0.00126354
6.777 -0.00125423 -0.00125423
6.786 -0.00124499 -0.00124499
6.795 -0.00123581 -0.00123581
6.804 -0.00122671 -0.00122671
6.813 -0.00121767 -0.00121767
6.822 -0.00120869 -0.00120869
6.831 -0.00119979 -0.00119979
6.84 -0.00119094 -0.00119094
6.849 -0.00118217 -0.00118217
6.858 -0.00117346 -0.00117346
6.867 -0.00116481 -0.00116481
6.876 -0.00115622 -0.00115622
6.885 -0.0011477 -0.0011477
6.894 -0.00113925 -0.00113925
6.903 -0.00113085 -0.00113085
6.912 -0.00112252 -0.00112252
6.921 -0.00111424 -0.00111424
6.93 -0.00110603 -0.00110603
6.939 -0.00109788 -0.00109788
6.948 -0.00108979 -0.00108979
6.957 -0.00108176 -0.00108176
6.966 -0.00107379 -0.00107379
6.975 -0.00106588 -0.00106588
6.984 -0.00105802 -0.00105802
6.993 -0.00105022 -0.00105022
7.002 -0.00104248 -0.00104248
7.011 -0.0010348 -0.0010348
7.02 -0.00102718 -0.00102718
7.029 -0.00101961 -0.00101961
7.038 -0.00101209 -0.00101209
7.047 -0.00100463 -0.00100463
7.056 -0.00099723 -0.00099723
7.065 -0.000989881 -0.000989881
7.074 -0.000982586 -0.000982586
7.083 -0.000975345 -0.000975345
7.092 -0.000968157 -0.000968157
7.101 -0.000961023 -0.000961023
7.11 -0.00095394 -0.00095394
7.119 -0.00094691 -0.00094691
7.128 -0.000939932 -0.000939932
7.137 -0.000933006 -0.000933006
7.146 -0.00092613 -0.00092613
7.155 -0.000919305 -0.000919305
